"","dataset","model","n","nfreeparams","param_h","param_m","param_b","param_h_lower","param_h_upper","param_m_lower","param_m_upper","param_b_lower","param_b_upper","rep","h_randomized_mean","h_randomized_lower_CI","h_randomized_upper_CI","m_randomized_mean","m_randomized_lower_CI","m_randomized_upper_CI","b_randomized_mean","b_randomized_lower_CI","b_randomized_upper_CI","r2_OO","r2_OR_mean","r2_OR_sd","r2_RR_mean","r2_RR_sd"
"35","Barnosky et al. (2011)","hmb",11,3,4.24760755242769e-05,-30.275200418436,3.39400957366281,5.44014076520936e-06,0.000277852932287729,-64.2059944032097,-2.04308723033629,1.32869179711459,6.64331729925948,"Original",0.00349989267597926,0.000740805939484043,0.00662275789462064,0.857513644011548,-6.17693454471425,10.3667979443406,-0.0111830532279536,-0.383128612254694,0.855402026356649,0.74800319858579,0.832767449137698,0.0739533051522211,0.669206753709566,0.104667075138468
"36","Pure birth simulation","h00",25000,1,0.20479486675175,0,0,0.198119858865677,0.211328312517846,0,0,0,0,"Original",2.67578308034868,2.60422097049166,2.74143379535547,0,0,0,0,0,0,1.01086491805199e-05,2.28118851524969e-06,1.21511390093918e-07,0.176488723063418,0.00411413108108216
"37","Pure birth simulation","0m0",25000,1,0,0.0040452018840211,0,0,0,0.00391047863062256,0.00418006472692963,0,0,"Original",0,0,0,0.00868501344621927,0.00858048837758767,0.00881160204656553,0,0,0,0.000272009563640385,0.000273634324697655,1.42099151707633e-08,0.125615023907407,0.00136498468699312
"38","Pure birth simulation","hm0",25000,2,0.173362976623576,0.0034035057577293,0,0.167973021679549,0.179059597156053,0.00328742224008972,0.00352156054260433,0,0,"Original",2.68557009123312,2.60822910224497,2.75608540774459,-0.000380109191743762,-0.000570332874569178,-0.000158142962586443,0,0,0,0.000599851224040731,2.97335930004579e-06,3.33560758440718e-07,0.176862271640331,0.00408952011015493
"39","Pure birth simulation","00b",25000,1,0,0,0.100152017379772,0,0,0,0,0.0982823037187687,0.102023696508234,"Original",0,0,0,0,0,0,0.570397769187795,0.56241318621226,0.578116367273085,0,0,0,0,0
"40","Pure birth simulation","h0b",25000,2,-0.0016445559921266,0,0.100564653470671,-0.0016445559921266,-0.000660668316030983,0,0,0.0985956393262159,0.102420106811334,"Original",2.58951907141503,2.48998572138579,2.69130093973782,0,0,0,0.0268525571757949,0.0163669161582127,0.0402860776079845,1.53443063836785e-05,1.77832144721384e-06,2.16067049550149e-07,0.176246316905006,0.00413418286645463
"41","Pure birth simulation","0mb",25000,2,0,-0.000137826055838747,0.101876712015301,0,0,-0.000142798609274183,-4.02278679635359e-05,0.0993749886389059,0.103636625729799,"Original",0,0,0,-0.0250108716828689,-0.0254406012969516,-0.0245612560153517,0.922672954272457,0.907872178584873,0.937061136738163,0.000269329292347837,0.000243450356908463,2.95259934986208e-07,0.102793940870179,0.00102161237329348
"42","Pure birth simulation","hmb",25000,3,-0.0109560504721974,-0.000284454448724005,0.10644315205928,-0.0138978449292048,-0.0051245405509074,-0.000375426262384472,-0.000213338769307058,0.103209651200654,0.109335043392784,"Original",2.29116006297459,2.14740888268198,2.42311416059169,-0.00529198152117676,-0.00636083976842667,-0.00449907797626662,0.163529057746207,0.133695064145539,0.20277348030442,0.000652163394753157,1.22712037171917e-05,1.16312302475689e-06,0.178560814982682,0.00380760481158914
"43","Pure birth simulation (total time)","h00",25000,1,0.335120677676155,0,0,0.320285811503521,0.349978672049012,0,0,0,0,"Original",5.93156609867849,5.775967618238,6.08281643962327,0,0,0,0,0,0,0.0195749933503859,0.0142981195323707,4.31135434461679e-05,0.180548354818709,0.00393076288442093
"44","Pure birth simulation (total time)","0m0",25000,1,0,6.46931173850644e-05,0,0,0,5.97515773257278e-05,6.96343163798582e-05,0,0,"Original",0,0,0,2.85489772710422e-05,2.78006607431165e-05,2.93452719689485e-05,0,0,0,5.2632563199246e-05,4.92075854780431e-05,3.87147087809592e-08,0.0310540141046648,0.000231217885961793
