"","dataset","model","r2","r2_randomized_mean","r2_randomized_sd","r2_randomized_min","r2_randomized_max","r2_mean_amount_worse_with_randomized","r2_min_amount_worse_with_randomized","r2_max_amount_worse_with_randomized","deltaAIC","r2_percentile_relative_to_randomized","h","h_percentile_relative_to_randomized","m","m_percentile_relative_to_randomized","b","b_percentile_relative_to_randomized"
"22","Henao Diaz et al. (2019)","h00",0.290193200366336,0.290193200366336,7.07905969954431e-17,0.290193200366336,0.290193200366336,-4.94049245958195e-17,-1.66533453693773e-16,1.11022302462516e-16,0.59,0.88,"2.1 (1.5, 3)",0,"0 (0, 0)",1,"0 (0, 0)",1
"23","Henao Diaz et al. (2019)","0m0",0.290193200366336,0.290193200366336,7.92936339443499e-17,0.290193200366336,0.290193200366336,2.1094237467878e-17,-1.11022302462516e-16,2.22044604925031e-16,118.26,0.88,"0 (0, 0)",1,"0.00062 (0.00035, 0.0011)",0,"0 (0, 0)",1
"24","Henao Diaz et al. (2019)","hm0",0.302248747936747,0.265998287638506,0.0153483569466652,0.223754573752322,0.297479203233052,0.036250460298241,0.00476954470369534,0.0784941741844253,0,0.92,"1.8 (1.3, 2.7)",0,"2.2e-05 (-1.1e-05, 3.6e-05)",0.98,"0 (0, 0)",1
"25","Henao Diaz et al. (2019)","00b",0,0,0,0,0,0,0,0,38.57,1,"0 (0, 0)",1,"0 (0, 0)",1,"0.036 (0.024, 0.048)",0
"26","Henao Diaz et al. (2019)","h0b",0.295750754575066,0.268901025110435,0.0134149720955334,0.230709423430186,0.295396125722168,0.0268497294646314,0.000354628852898609,0.06504133114488,0.99,0.9,"1.7 (1.2, 2.9)",0,"0 (0, 0)",1,"0.0044 (-0.0044, 0.0056)",0.98
"27","Henao Diaz et al. (2019)","0mb",0.107008059105107,0.0790658293828286,0.0118316991883751,0.0507594361140417,0.100575646322827,0.0279422297222784,0.00643241278228014,0.0562486229910653,29.11,0.35,"0 (0, 0)",1,"-0.00012 (-0.00019, -3e-05)",1,"0.048 (0.031, 0.071)",0
"28","Henao Diaz et al. (2019)","hmb",0.305234941307045,0.272312771217142,0.0189281706782278,0.221520390934884,0.309371427501185,0.0329221700899024,-0.0041364861941402,0.0837145503721607,1.56,0.9,"1.9 (1.1, 2.9)",0,"4.4e-05 (-2.6e-05, 9.2e-05)",0.48,"-0.0048 (-0.0083, 0.0097)",0.81
"29","Barnosky et al. (2011)","h00",0.868821107377445,0.868821107377445,2.23163224623948e-17,0.868821107377445,0.868821107377445,-2.22044604925031e-18,-2.22044604925031e-16,0,25.88,0.99,"0.003 (0.00027, 0.0063)",1,"0 (0, 0)",1,"0 (0, 0)",1
"30","Barnosky et al. (2011)","0m0",0.868821107377445,0.868821107377445,6.21260124577725e-17,0.868821107377445,0.868821107377445,-3.21964677141295e-17,-2.22044604925031e-16,0,40.5,0.99,"0 (0, 0)",1,"3700 (34, 3700)",0.59,"0 (0, 0)",1
"31","Barnosky et al. (2011)","hm0",0.393419714819542,0.839781336991937,0.0621843089424299,0.545116016278521,0.887088844338534,-0.446361622172394,-0.493669129518992,-0.151696301458978,20.32,0,"0.00063 (1e-04, 0.0071)",0,"28 (2.9, 520)",1,"0 (0, 0)",1
"32","Barnosky et al. (2011)","00b",0,0,0,0,0,0,0,0,11.1,1,"0 (0, 0)",1,"0 (0, 0)",1,"3.3 (0.96, 5.9)",0.23
"33","Barnosky et al. (2011)","h0b",0.475705233654176,0.85219050658758,0.0507169951599069,0.653005949827045,0.892126995285351,-0.376485272933403,-0.416421761631175,-0.177300716172869,6.36,0.01,"6.8e-05 (1.6e-06, 0.00067)",0,"0 (0, 0)",1,"2 (0.58, 5.8)",1
"34","Barnosky et al. (2011)","0mb",0.459039662918635,0.367005486670885,0.0469654597273516,0.308404599888958,0.444445374906586,0.0920341762477503,0.0145942880120491,0.150635063029677,6.56,0.96,"0 (0, 0)",1,"-43 (-110, 9.9)",0.95,"4.6 (2.1, 12)",0.05
"35","Barnosky et al. (2011)","hmb",0.74800319858579,0.832767449137698,0.0739533051522211,0.576255268346242,0.90390260130883,-0.0847642505519082,-0.15589940272304,0.171747930239548,0,0.5,"4.2e-05 (5.4e-06, 0.00028)",0,"-30 (-64, -2)",0,"3.4 (1.3, 6.6)",1
"36","Pure birth simulation","h00",1.01086491805199e-05,2.28118851524969e-06,1.21511390093918e-07,2.0076439688471e-06,2.67004727629804e-06,7.82746066527022e-06,7.43860190422187e-06,8.1010052116728e-06,9802.38,0,"0.2 (0.2, 0.21)",0,"0 (0, 0)",1,"0 (0, 0)",1
"37","Pure birth simulation","0m0",0.000272009563640385,0.000273634324697655,1.42099151707633e-08,0.00027360355857829,0.00027367808398989,-1.62476105727056e-06,-1.6685203495051e-06,-1.59399493790489e-06,10026.61,0,"0 (0, 0)",1,"0.004 (0.0039, 0.0042)",0,"0 (0, 0)",1
"38","Pure birth simulation","hm0",0.000599851224040731,2.97335930004579e-06,3.33560758440718e-07,2.15651438799893e-06,3.98381322117472e-06,0.000596877864740686,0.000595867410819557,0.000597694709652732,3505.52,0,"0.17 (0.17, 0.18)",0,"0.0034 (0.0033, 0.0035)",1,"0 (0, 0)",1
"39","Pure birth simulation","00b",0,0,0,0,0,0,0,0,12.31,1,"0 (0, 0)",1,"0 (0, 0)",1,"0.1 (0.098, 0.1)",0
"40","Pure birth simulation","h0b",1.53443063836785e-05,1.77832144721384e-06,2.16067049550149e-07,1.23393773617095e-06,2.53164502482309e-06,1.35659849364646e-05,1.28126613588554e-05,1.41103686475075e-05,13.92,0,"-0.0016 (-0.0016, -0.00066)",0,"0 (0, 0)",1,"0.1 (0.099, 0.1)",1
"41","Pure birth simulation","0mb",0.000269329292347837,0.000243450356908463,2.95259934986208e-07,0.000242729751755555,0.000244280072372343,2.58789354393747e-05,2.50492199754944e-05,2.6599540592282e-05,7.57,0,"0 (0, 0)",1,"-0.00014 (-0.00014, -4e-05)",1,"0.1 (0.099, 0.1)",0
"42","Pure birth simulation","hmb",0.000652163394753157,1.22712037171917e-05,1.16312302475689e-06,9.51349772981935e-06,1.53536862875388e-05,0.000639892191035965,0.000636809708465618,0.000642649897023337,0,0,"-0.011 (-0.014, -0.0051)",0,"-0.00028 (-0.00038, -0.00021)",1,"0.11 (0.1, 0.11)",0
