x, y
-4.59607487033492, -2.9984028087543346
-4.814828449418348, -2.0425054318891465
-5.101318738853712, -0.40767227362332203
-5.1122809600942425, -0.04584370548368977
-4.412294049313634, -0.36441860799746717
-3.5627219031724993, -2.204167086349051
-2.811768844385543, -1.2063110637869263
-2.8006021040920173, -1.14181907132682
-2.7650566926814903, -1.6100119429615667
-2.5117802974525105, -1.3476409053628213
-2.5055629182414636, -1.6274083773400294
-2.0611021122727795, -2.225189576528483
-1.4197712658911303, -2.0816582010734277
-0.8257661283725195, -2.5849892801128105
-0.6735630491336577, -3.05650603623178
-0.6697998985585496, -3.64841647840914
0.02057461673129435, -5.295724995323539
